"Source:","/home/pierreg/Documents/LifeStyle/Electronics/Projects/BigFoot/PCB/BigFoot.kicad_sch"
"Date:","lun. 12 déc. 2022 15:57:01"
"Tool:","Eeschema (6.0.9)"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","42"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","BankSwitch+1","FS5700SPMT2B2M1QEH","Switch:SW_SPDT","Switch:Switch_Foot_SPDT_Momentary_Eswitch_FS5700SPMT2B2M1QEH","https://sten-eswitch-13110800-production.s3.amazonaws.com/system/asset/product_line/data_sheet/226/FS5700.pdf"
"","","BankSwith-1","FS5700SPMT2B2M1QEH","Switch:SW_SPDT","Switch:Switch_Foot_SPDT_Momentary_Eswitch_FS5700SPMT2B2M1QEH","https://sten-eswitch-13110800-production.s3.amazonaws.com/system/asset/product_line/data_sheet/226/FS5700.pdf"
"","","ExprPedalJack1","ACJS-IH","Connector:AudioJack3","Connectors:Jack_6.35_Horizontal_Amphenol_ACJS-IH","https://www.amphenolaudio.com/products/14-2/m-series/"
"","","ExprPedalJack2","ACJS-IH","Connector:AudioJack3","Connectors:Jack_6.35_Horizontal_Amphenol_ACJS-IH","https://www.amphenolaudio.com/products/14-2/m-series/"
"","","FootSwitch0","FS5700SPMT2B2M1QEH","Switch:SW_SPDT","Switch:Switch_Foot_SPDT_Momentary_Eswitch_FS5700SPMT2B2M1QEH","https://sten-eswitch-13110800-production.s3.amazonaws.com/system/asset/product_line/data_sheet/226/FS5700.pdf"
"","","FootSwitch1","FS5700SPMT2B2M1QEH","Switch:SW_SPDT","Switch:Switch_Foot_SPDT_Momentary_Eswitch_FS5700SPMT2B2M1QEH","https://sten-eswitch-13110800-production.s3.amazonaws.com/system/asset/product_line/data_sheet/226/FS5700.pdf"
"","","FootSwitch2","FS5700SPMT2B2M1QEH","Switch:SW_SPDT","Switch:Switch_Foot_SPDT_Momentary_Eswitch_FS5700SPMT2B2M1QEH","https://sten-eswitch-13110800-production.s3.amazonaws.com/system/asset/product_line/data_sheet/226/FS5700.pdf"
"","","FootSwitch3","FS5700SPMT2B2M1QEH","Switch:SW_SPDT","Switch:Switch_Foot_SPDT_Momentary_Eswitch_FS5700SPMT2B2M1QEH","https://sten-eswitch-13110800-production.s3.amazonaws.com/system/asset/product_line/data_sheet/226/FS5700.pdf"
"","","FootSwitch4","FS5700SPMT2B2M1QEH","Switch:SW_SPDT","Switch:Switch_Foot_SPDT_Momentary_Eswitch_FS5700SPMT2B2M1QEH","https://sten-eswitch-13110800-production.s3.amazonaws.com/system/asset/product_line/data_sheet/226/FS5700.pdf"
